accession,definition,organism,taxid,length
WP_000760006.1,glycerol kinase,Bacillus cereus group,86661,496
WP_000760014.1,glycerol kinase,Bacillus cereus group,86661,496
WP_001988667.1,glycerol kinase,Bacillus cereus group,86661,496
WP_002011107.1,glycerol kinase,Bacillus cereus group,86661,496
WP_002116721.1,glycerol kinase,Bacillus cereus group,86661,496
WP_002159019.1,glycerol kinase,Bacillus cereus group,86661,496
WP_002188617.1,glycerol kinase,Bacillus cereus group,86661,496
WP_002201498.1,glycerol kinase,Bacillus cereus group,86661,496
WP_003206083.1,glycerol kinase,Bacillus cereus group,86661,496
WP_016113654.1,glycerol kinase,Bacillus cereus group,86661,496
WP_016513877.1,glycerol kinase,Bacillus cereus group,86661,496
WP_011246107.1,glycerol kinase,Bacillus clausii,79880,500
WP_011248223.1,glycerol kinase,Bacillus clausii,79880,498
WP_013858256.1,glycerol kinase,Bacillus coagulans,1398,496
WP_014096281.1,glycerol kinase,Bacillus coagulans,1398,496
WP_017550623.1,glycerol kinase,Bacillus coagulans,1398,496
WP_017554090.1,glycerol kinase,Bacillus coagulans,1398,496
WP_011983899.1,glycerol kinase,Bacillus cytotoxicus,580165,496
WP_018705027.1,glycerol kinase,Bacillus fordii,254759,498
WP_010897263.1,glycerol kinase,Bacillus halodurans,86665,497
WP_017728727.1,glycerol kinase,Bacillus ligniniphilus,1134413,497
WP_019240321.1,glycerol kinase,Bacillus massilioanorexius,1468413,497
WP_019240328.1,glycerol kinase,Bacillus massilioanorexius,1468413,496
WP_019153403.1,glycerol kinase,Bacillus massiliosenegalensis,1287657,496
WP_013081635.1,glycerol kinase,Bacillus megaterium,1404,496
WP_014461712.1,glycerol kinase,Bacillus megaterium,1404,496
WP_003350499.1,glycerol kinase,Bacillus methanolicus,1471,496
WP_004433694.1,glycerol kinase,Bacillus methanolicus,1471,496
WP_010333529.1,glycerol kinase,Bacillus mojavensis,72360,496
WP_016203925.1,glycerol kinase,Bacillus nealsonii,115979,496
WP_019379657.1,glycerol kinase,Bacillus oceanisediminis,665099,496
WP_017754796.1,glycerol kinase,Bacillus oryziterrae,1191699,496
WP_012957483.1,glycerol kinase,Bacillus pseudofirmus,79885,501
WP_006093843.1,glycerol kinase,Bacillus pseudomycoides,64104,496
WP_003212099.1,glycerol kinase,Bacillus pumilus,1408,498
WP_012009401.1,glycerol kinase,Bacillus pumilus,1408,498
WP_003353102.1,glycerol kinase,Bacillus smithii,1479,497
WP_006636600.1,glycerol kinase,Bacillus sonorensis,119858,496
WP_020062052.1,glycerol kinase,Bacillus sp. 123MFChir2,1169144,496
WP_015594189.1,glycerol kinase,Bacillus sp. 1NLA3E,666686,496
WP_009332513.1,glycerol kinase,Bacillus sp. 2_A_57_CT2,665959,496
WP_008181733.1,glycerol kinase,Bacillus sp. B14905,388400,497
WP_009328988.1,glycerol kinase,Bacillus sp. BT1B_CT2,665958,496
WP_014663336.1,glycerol kinase,Bacillus sp. JS,1127744,496
WP_010198265.1,glycerol kinase,Bacillus sp. m3-13,406124,496
WP_003224126.1,glycerol kinase,Bacillus subtilis,1423,496
WP_003239584.1,glycerol kinase,Bacillus subtilis,1423,496
WP_014476263.1,glycerol kinase,Bacillus subtilis,1423,496
WP_014479286.1,glycerol kinase,Bacillus subtilis,1423,496
WP_019257893.1,glycerol kinase,Bacillus subtilis,1423,496
WP_019713769.1,glycerol kinase,Bacillus subtilis,1423,496
WP_003327832.1,glycerol kinase,Bacillus subtilis group,653685,496
WP_013351645.1,glycerol kinase,Bacillus subtilis group,653685,496
WP_000759984.1,glycerol kinase,Bacillus thuringiensis,1428,496
WP_000759989.1,glycerol kinase,Bacillus thuringiensis,1428,496
WP_000760001.1,glycerol kinase,Bacillus thuringiensis,1428,496
WP_000760002.1,glycerol kinase,Bacillus thuringiensis,1428,496
WP_010283615.1,glycerol kinase,Bacillus timonensis,1033734,496
WP_010327773.1,glycerol kinase,Bacillus vallismortis,72361,496
WP_015239470.1,glycerol kinase,Bacillus velezensis,492670,496
WP_008361508.1,glycerol kinase,Bacillus xiamenensis,1178537,498
WP_006808669.1,glycerol kinase,Bacteria,2,502
WP_012319152.1,glycerol kinase,Bacteria,2,501
WP_005855008.1,glycerol kinase,Bacteroidales,171549,499
WP_008773317.1,glycerol kinase,Bacteroidales,171549,499
WP_006743942.1,glycerol kinase,Bacteroides coprosuis,151276,495
WP_018128063.1,glycerol kinase,Balneola vulgaris,287535,498
WP_008038366.1,glycerol kinase,Bartonella tamiae,373638,503
WP_012383391.1,glycerol kinase,Beijerinckia indica,533,507
WP_014772271.1,glycerol kinase,Belliella baltica,232259,496
WP_014772991.1,glycerol kinase,Belliella baltica,232259,499
WP_017507212.1,glycerol kinase,beta proteobacterium L13,1229489,500
WP_015883771.1,glycerol kinase,Beutenbergia cavernae,84757,505
WP_008297094.1,glycerol kinase,Bhargavaea cecembensis,394098,497
WP_015433170.1,glycerol kinase,Bibersteinia trehalosi,47735,500
WP_009733367.1,glycerol kinase,Bilophila sp. 4_1_30,693988,496
WP_005024890.1,glycerol kinase,Bilophila wadsworthia,35833,496
WP_014378628.1,glycerol kinase,Blastococcus saxobsidens,138336,505
WP_002652627.1,glycerol kinase,Blastopirellula marina,124,498
WP_014246356.1,glycerol kinase,Blattabacterium punctulatus,164514,498
WP_014726499.1,glycerol kinase,Blattabacterium sp. (Blaberus giganteus),1186051,500
WP_012840981.1,glycerol kinase,Blattabacterium sp. (Blattella germanica),624186,498
WP_014158661.1,glycerol kinase,Blattabacterium sp. (Mastotermes darwiniensis),39768,496
WP_012821338.1,glycerol kinase,Blattabacterium sp. (Periplaneta americana),367488,498
WP_005950041.1,glycerol kinase,Blautia hydrogenotrophica,53443,498
WP_005425514.1,glycerol kinase,Blautia obeum,40520,500
WP_003815059.1,glycerol kinase,Bordetella,517,508
WP_015040573.1,glycerol kinase,Bordetella,517,508
WP_012418690.1,glycerol kinase,Bordetella avium,521,499
WP_003820512.1,glycerol kinase,Bordetella bronchiseptica,518,508
WP_004567811.1,glycerol kinase,Bordetella bronchiseptica,518,508
WP_010931670.1,glycerol kinase,Bordetella pertussis,520,508
WP_019249116.1,glycerol kinase,Bordetella pertussis,520,508
WP_012247548.1,glycerol kinase,Bordetella petrii,94624,506
WP_019938056.1,glycerol kinase,Bordetella sp. FB-8,1159870,505
WP_014696123.1,glycerol kinase,Borrelia crocidurae,29520,496
WP_012538006.1,glycerol kinase,Borrelia duttonii,40834,496
WP_012422013.1,glycerol kinase,Borrelia hermsii,140,495
WP_011193582.1,glycerol kinase,Borreliella,64895,501
WP_004790383.1,glycerol kinase,Borreliella afzelii,29518,501
WP_015055420.1,glycerol kinase,Borreliella afzelii,29518,501
WP_014023490.1,glycerol kinase,Borreliella bissettii,64897,501
WP_002556840.1,glycerol kinase,Borreliella burgdorferi,139,501
WP_002656192.1,glycerol kinase,Borreliella burgdorferi,139,501
WP_002663811.1,glycerol kinase,Borreliella burgdorferi,139,501
WP_008882469.1,glycerol kinase,Borreliella finlandensis,498741,501
WP_004791616.1,glycerol kinase,Borreliella garinii,29519,501
WP_004793766.1,glycerol kinase,Borreliella garinii,29519,501
WP_006433586.1,glycerol kinase,Borreliella spielmanii,88916,502
WP_006068550.1,glycerol kinase,Borreliella valaisiana,62088,501
WP_015776956.1,glycerol kinase,Brachybacterium faecium,43669,514
WP_017823040.1,glycerol kinase,Brachybacterium muris,219301,511
WP_010549215.1,glycerol kinase,Brachybacterium paraconglomeratum,173362,514
WP_010532995.1,glycerol kinase,Brachybacterium squillarum,661979,511
WP_008721301.1,glycerol kinase,Brachyspira hampsonii,1287055,494
WP_008729417.1,glycerol kinase,Brachyspira hampsonii,1287055,494
WP_012671460.1,glycerol kinase,Brachyspira hyodysenteriae,159,494
WP_020005327.1,glycerol kinase,Brachyspira innocens,13264,494
WP_014489125.1,glycerol kinase,Brachyspira intermedia,84377,494
WP_013113762.1,glycerol kinase,Brachyspira murdochii,84378,494
WP_013243752.1,glycerol kinase,Brachyspira pilosicoli,52584,494
WP_014933723.1,glycerol kinase,Brachyspira pilosicoli,52584,494
WP_014936608.1,glycerol kinase,Brachyspira pilosicoli,52584,494
WP_009114848.1,glycerol kinase,Brenneria sp. EniD312,598467,503
WP_005830655.1,glycerol kinase,Brevibacillus agri,51101,499
WP_003386173.1,glycerol kinase,Brevibacillus borstelensis,45462,497
WP_015893267.1,glycerol kinase,Brevibacillus brevis,1393,499
WP_017251607.1,glycerol kinase,Brevibacillus brevis,1393,499
WP_003336492.1,glycerol kinase,Brevibacillus laterosporus,1465,502
WP_003339839.1,glycerol kinase,Brevibacillus laterosporus,1465,502
WP_018671874.1,glycerol kinase,Brevibacillus laterosporus,1465,502
WP_019119941.1,glycerol kinase,Brevibacillus massiliensis,1118054,496
WP_007718426.1,glycerol kinase,Brevibacillus sp. BC25,1144308,499
WP_007782986.1,glycerol kinase,Brevibacillus sp. CF112,1144311,499
WP_009380606.1,glycerol kinase,Brevibacterium casei,33889,510
WP_009882939.1,glycerol kinase,Brevibacterium linens,1703,510
WP_005882500.1,glycerol kinase,Brevibacterium mcbrellneri,53363,491
WP_019175201.1,glycerol kinase,Brevibacterium ravenspurgense,479117,491
WP_019157583.1,glycerol kinase,Brevibacterium senegalense,1033736,500
WP_006406533.1,glycerol kinase,Burkholderia,32008,500
WP_009911296.1,glycerol kinase,Burkholderia,32008,500
WP_010090755.1,glycerol kinase,Burkholderia,32008,500
WP_011546147.1,glycerol kinase,Burkholderia,32008,500
WP_011885953.1,glycerol kinase,Burkholderia,32008,500
WP_006751301.1,glycerol kinase,Burkholderia ambifaria,152480,500
WP_006757966.1,glycerol kinase,Burkholderia ambifaria,152480,500
WP_011657858.1,glycerol kinase,Burkholderia ambifaria,152480,500
WP_012364653.1,glycerol kinase,Burkholderia ambifaria,152480,500
WP_014896124.1,glycerol kinase,Burkholderia cepacia,292,500
WP_006484471.1,glycerol kinase,Burkholderia cepacia complex,87882,500
WP_006497360.1,glycerol kinase,Burkholderia cepacia complex,87882,500
WP_013699320.1,glycerol kinase,Burkholderia gladioli,28095,500
WP_015876960.1,glycerol kinase,Burkholderia glumae,337,500
WP_011203789.1,glycerol kinase,Burkholderia mallei,13373,503
WP_006398356.1,glycerol kinase,Burkholderia multivorans,87883,500
WP_009963560.1,glycerol kinase,Burkholderia pseudomallei,28450,500
WP_009972918.1,glycerol kinase,Burkholderia pseudomallei,28450,500
WP_017334119.1,glycerol kinase,Burkholderia pyrrocinia,60550,500
WP_013589557.1,glycerol kinase,Burkholderia sp. CCGE1001,640510,499
WP_013090479.1,glycerol kinase,Burkholderia sp. CCGE1002,640511,499
WP_013340435.1,glycerol kinase,Burkholderia sp. CCGE1003,640512,499
WP_007180458.1,glycerol kinase,Burkholderia sp. Ch1-1,243261,499
WP_008919605.1,glycerol kinase,Burkholderia sp. H160,516466,499
WP_018437720.1,glycerol kinase,Burkholderia sp. JPY251,667585,499
WP_018443743.1,glycerol kinase,Burkholderia sp. JPY347,667632,499
WP_016344349.1,glycerol kinase,Burkholderia sp. RPE64,758793,498
WP_016346831.1,glycerol kinase,Burkholderia sp. RPE64,758793,511
WP_018421757.1,glycerol kinase,Burkholderia sp. WSM4176,935543,499
WP_014190486.1,glycerol kinase,Burkholderia sp. YI23,1097668,498
WP_009892877.1,glycerol kinase,Burkholderia thailandensis,57975,500
WP_009903005.1,glycerol kinase,Burkholderia thailandensis,57975,500
WP_007586171.1,glycerol kinase,Burkholderiaceae,119060,499
WP_007737357.1,glycerol kinase,Burkholderiaceae,119060,499
WP_008346094.1,glycerol kinase,Burkholderiaceae,119060,507
WP_008351422.1,glycerol kinase,Burkholderiaceae,119060,498
WP_008812243.1,glycerol kinase,Burkholderiales bacterium 1_1_47,469610,504
WP_009553185.1,glycerol kinase,Burkholderiales bacterium JOSHI_001,864051,497
WP_016146820.1,glycerol kinase,Butyricicoccus pullicaecorum,501571,499
WP_018337917.1,glycerol kinase,Butyricimonas synergistica,544644,500
WP_013281135.1,glycerol kinase,Butyrivibrio proteoclasticus,43305,500
WP_009610750.1,glycerol kinase,Caldanaerobacter subterraneus,911092,497
WP_020156656.1,glycerol kinase,Caldibacillus debilis,301148,496
WP_019562069.1,glycerol kinase,Caldimonas manganoxidans,196015,501
WP_014453961.1,glycerol kinase,Caldisericum exile,693075,504
WP_008907470.1,glycerol kinase,Caloramator australicus,515264,498
WP_015766812.1,glycerol kinase,Candidatus Accumulibacter phosphatis,327160,503
WP_011523789.1,glycerol kinase,Candidatus Koribacter versatilis,658062,498
WP_006707492.1,glycerol kinase,Candidatus Regiella insecticola,138073,514
WP_013087639.1,glycerol kinase GlpK,Candidatus Riesia pediculicola,401619,515
WP_011687241.1,glycerol kinase,Candidatus Solibacter usitatus,332163,494
WP_011344733.1,glycerol kinase,Carboxydothermus hydrogenoformans,129958,500
WP_004141407.1,glycerol kinase,Cardiobacterium hominis,2718,496
WP_006984278.1,glycerol kinase,Cardiobacterium valvarum,194702,496
WP_007724540.1,glycerol kinase,Carnobacterium,2747,505
WP_010050233.1,glycerol kinase,Carnobacterium maltaromaticum,2751,498
WP_010052430.1,glycerol kinase,Carnobacterium maltaromaticum,2751,502
WP_013709800.1,glycerol kinase,Carnobacterium sp. 17-4,208596,504
WP_013711117.1,glycerol kinase,Carnobacterium sp. 17-4,208596,501
WP_007723398.1,glycerol kinase,Carnobacterium sp. AT7,333990,501
WP_009488925.1,glycerol kinase,Catellicoccus marimammalium,300419,498
WP_020525025.1,glycerol kinase,Catelliglobosispora koreensis,129052,480
WP_015793712.1,glycerol kinase,Catenulispora acidiphila,304895,506
WP_015793715.1,glycerol kinase,Catenulispora acidiphila,304895,507
WP_009186584.1,glycerol kinase,Cecembia lonarensis,645110,496
WP_013772655.1,glycerol kinase,Cellulomonas fimi,1708,507
WP_013115804.1,glycerol kinase,Cellulomonas flavigena,1711,506
WP_013882334.1,glycerol kinase,Cellulomonas gilvus,11,507
WP_019135877.1,glycerol kinase,Cellulomonas massiliensis,1465811,507
WP_013549579.1,glycerol kinase,Cellulophaga algicola,59600,495
WP_013620371.1,glycerol kinase,Cellulophaga lytica,979,498
WP_013655516.1,glycerol kinase,Cellulosilyticum lentocellum,29360,503
WP_012788401.1,glycerol kinase,Chitinophaga pinensis,79329,513
WP_014099661.1,glycerol kinase,Chloracidobacterium thermophilum,458033,507
WP_012503083.1,glycerol kinase,Chlorobaculum parvum,274539,483
WP_010931879.1,glycerol kinase,Chlorobaculum tepidum,1097,483
WP_006366095.1,glycerol kinase,Chlorobium ferrooxidans,84205,483
WP_012465121.1,glycerol kinase,Chlorobium limicola,1092,493
WP_012474394.1,glycerol kinase,Chlorobium phaeobacteroides,1096,483
WP_015961109.1,glycerol kinase,Chlorobium phaeobacteroides,1096,483
WP_012615391.1,glycerol kinase,Chloroflexus aggregans,152260,498
WP_012259133.1,glycerol kinase,Chloroflexus aurantiacus,1108,498
WP_015909396.1,glycerol kinase,Chloroflexus sp. Y-400-fl,480224,498
WP_011133806.1,glycerol kinase,Chromobacterium,535,500
WP_002978575.1,glycerol kinase,Chryseobacterium,59732,503
WP_002983179.1,glycerol kinase,Chryseobacterium gleum,250,498
WP_010145393.1,glycerol kinase,Citricoccus sp. CH26A,1045009,509
WP_016157908.1,glycerol kinase,Citrobacter,544,502
WP_003847857.1,glycerol kinase,Citrobacter freundii,546,502
WP_012907806.1,glycerol kinase,Citrobacter rodentium,67825,502
WP_006686207.1,glycerol kinase,Citrobacter youngae,133448,502
WP_012038518.1,glycerol kinase,Clavibacter,1573,505
WP_015490495.1,glycerol kinase,Clavibacter nebraskensis,31963,505
WP_002585172.1,glycerol kinase,Clostridiales,186802,498
WP_003401646.1,glycerol kinase,Clostridiales,186802,498
WP_007870166.1,glycerol kinase,Clostridiales,186802,498
WP_008393175.1,glycerol kinase,Clostridiales,186802,497
WP_008399380.1,glycerol kinase,Clostridiales,186802,498
WP_009893012.1,glycerol kinase,Clostridiales,186802,504
WP_013379156.1,glycerol kinase,Clostridiales,186802,497
WP_013379901.1,glycerol kinase GlpK,Clostridiales,186802,497
WP_013380617.1,glycerol kinase GlpK,Clostridiales,186802,494
WP_013381169.1,glycerol kinase,Clostridiales,186802,494
WP_013381373.1,glycerol kinase,Clostridiales,186802,498
WP_009269216.1,glycerol kinase,Clostridioides difficile,1496,493
WP_009902453.1,glycerol kinase,Clostridioides difficile,1496,504
WP_009905427.1,glycerol kinase,Clostridioides difficile,1496,504
WP_011861192.1,glycerol kinase,Clostridioides difficile,1496,504
WP_002580667.1,glycerol kinase,Clostridium,1485,499
WP_002599235.1,glycerol kinase,Clostridium,1485,499
WP_003361253.1,glycerol kinase,Clostridium,1485,498
WP_003378301.1,glycerol kinase,Clostridium,1485,498
WP_003494477.1,glycerol kinase,Clostridium,1485,498
WP_009060408.1,glycerol kinase,Clostridium,1485,496
WP_010298125.1,glycerol kinase,Clostridium,1485,500
WP_011723053.1,glycerol kinase,Clostridium,1485,498
WP_010964631.1,glycerol kinase,Clostridium acetobutylicum,1488,498
WP_012060665.1,glycerol kinase,Clostridium beijerinckii,1520,499
WP_003359217.1,glycerol kinase,Clostridium botulinum,1491,498
WP_003373509.1,glycerol kinase,Clostridium botulinum,1491,498
WP_011987067.1,glycerol kinase,Clostridium botulinum,1491,498
WP_012100593.1,glycerol kinase,Clostridium botulinum,1491,498
WP_012341873.1,glycerol kinase,Clostridium botulinum,1491,498
WP_012424579.1,glycerol kinase,Clostridium botulinum,1491,498
WP_013726512.1,glycerol kinase,Clostridium botulinum,1491,516
WP_014521514.1,glycerol kinase,Clostridium botulinum,1491,498
WP_003407258.1,glycerol kinase,Clostridium butyricum,1492,499
WP_003426069.1,glycerol kinase,Clostridium butyricum,1492,499
WP_007064269.1,glycerol kinase,Clostridium carboxidivorans,217159,496
WP_005214040.1,glycerol kinase,Clostridium celatum,36834,497
WP_003450593.1,glycerol kinase,Clostridium perfringens,1502,500
WP_003456800.1,glycerol kinase,Clostridium perfringens,1502,500
WP_003462978.1,glycerol kinase,Clostridium perfringens,1502,500
WP_003467821.1,glycerol kinase,Clostridium perfringens,1502,500
WP_015390910.1,glycerol kinase,Clostridium saccharoperbutylacetonicum,36745,499
WP_016205679.1,glycerol kinase,Clostridium sartagoforme,84031,498
WP_008680874.1,glycerol kinase,Clostridium sp. 7_2_43FAA,457396,496
WP_009297076.1,glycerol kinase,Clostridium sp. 7_3_54FAA,665940,498
WP_004079541.1,glycerol kinase,Clostridium sp. ASF502,97139,499
WP_014312271.1,glycerol kinase,Clostridium sp. BNL1100,755731,498
WP_009002313.1,glycerol kinase,Clostridium sp. D5,556261,498
WP_009168516.1,glycerol kinase,Clostridium sp. DL-VIII,641107,499
WP_009588380.1,glycerol kinase,Clostridium sp. HGF2,908340,493
WP_008421875.1,glycerol kinase,Clostridium sp. LS,1352601,499
WP_013976684.1,glycerol kinase,Clostridium sp. SY8519,1042156,500
WP_011099949.1,glycerol kinase,Clostridium tetani,1513,498
WP_011100588.1,glycerol kinase,Clostridium tetani,1513,493
WP_017414196.1,glycerol kinase,Clostridium tunisiense,219748,498
WP_017752631.1,glycerol kinase,Clostridium tyrobutyricum,1519,497
WP_019006501.1,glycerol kinase,Cohnella laeviribosi,380174,498
WP_003050488.1,glycerol kinase,Comamonas testosteroni,285,498
WP_003068397.1,glycerol kinase,Comamonas testosteroni,285,498
